[2026-04-13 09:41:03] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:04] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:05] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:06] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:06] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:07] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:08] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:09] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 09:41:10] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.90 | Strength: 3 touches | Level: 4521.9400 | Sweep Type: wick | Time: 2026-03-25 21:00:00
[2026-04-13 10:13:54] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4540.5300 | Sweep Type: break_retest | Time: 2026-03-20 20:00:00
[2026-04-13 10:13:55] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4540.5300 | Sweep Type: break_retest | Time: 2026-03-20 20:00:00
[2026-04-13 10:13:56] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4540.5300 | Sweep Type: break_retest | Time: 2026-03-20 20:00:00
[2026-04-13 10:13:57] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4540.5300 | Sweep Type: break_retest | Time: 2026-03-20 20:00:00
